STOCK,HOLDER NAME, SHARES 
TEL PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT. ," 16,717,830.00 "
TEL PM Equity,CITIBANK N.A. ," 11,527,187.00 "
TEL PM Equity,GOVERNMENT SERVICE INSURANCE SYSTEM ," 8,902,873.00 "
TEL PM Equity,"CLSA PHILIPPINES, INC. "," 7,654,330.00 "
TEL PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C ," 5,985,568.00 "
TEL PM Equity,STANDARD CHARTERED BANK ," 5,562,134.00 "
TEL PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C ," 2,942,363.00 "
TEL PM Equity,"COL Financial Group, Inc. "," 2,289,459.00 "
TEL PM Equity,BANCO DE ORO - TRUST BANKING GROUP ," 2,279,903.00 "
TEL PM Equity,SOCIAL SECURITY SYSTEM ," 1,865,638.00 "
TEL PM Equity,BDO SECURITIES CORPORATION ," 1,808,003.00 "
TEL PM Equity,FIRST METRO SECURITIES BROKERAGE CORP. ," 1,402,537.00 "
TEL PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT. ," 1,234,980.00 "
TEL PM Equity,BPI SECURITIES CORPORATION ," 1,224,624.00 "
TEL PM Equity,"RCBC SECURITIES, INC. "," 1,021,538.00 "
TEL PM Equity,RCBC TRUST CORPORATION ," 1,007,978.00 "
TEL PM Equity,"WEALTH SECURITIES, INC. "," 981,940.00 "
TEL PM Equity,MBTC - TRUST BANKING GROUP ," 954,819.00 "
TEL PM Equity,"SB EQUITIES,INC. "," 656,792.00 "
TEL PM Equity,"MAYBANK SECURITIES, INC. "," 300,315.00 "
TEL PM Equity,"R. NUBLA SECURITIES, INC. "," 251,649.00 "
TEL PM Equity,UNICAPITAL SECURITIES INC. ," 246,531.00 "
TEL PM Equity,PNB TRUST BANKING GROUP ," 232,428.00 "
TEL PM Equity,PAPA SECURITIES CORPORATION ," 226,634.00 "
TEL PM Equity,AP SECURITIES INCORPORATED ," 218,648.00 "
TEL PM Equity,"AB CAPITAL SECURITIES, INC. "," 217,473.00 "
TEL PM Equity,"ASIASEC EQUITIES, INC. "," 196,988.00 "
TEL PM Equity,LBP-TBG THIRD PARTY CUSTODIANSHIP & REGISTRY DEPT ," 180,410.00 "
TEL PM Equity,"REGIS PARTNERS, INC. "," 178,593.00 "
TEL PM Equity,"YAO & ZIALCITA, INC. "," 176,097.00 "
TEL PM Equity,"LANDBANK SECURITIES, INC. "," 172,144.00 "
TEL PM Equity,"PHILIPPINE EQUITY PARTNERS, INC. "," 170,946.00 "
TEL PM Equity,CHINA BANKING CORPORATION - TRUST GROUP ," 167,069.00 "
TEL PM Equity,CHINA BANK SECURITIES CORPORATION ," 165,759.00 "
TEL PM Equity,LAND BANK OF THE PHILIPPINES ," 154,000.00 "
TEL PM Equity,"SECURITIES SPECIALISTS, INC. "," 146,733.00 "
TEL PM Equity,PHILSTOCKS FINANCIAL INC ," 136,019.00 "
TEL PM Equity,VALUE QUEST SECURITIES CORPORATION ," 122,089.00 "
TEL PM Equity,RCBC TRUST CORPORATION ," 118,634.00 "
TEL PM Equity,EASTERN SECURITIES DEVELOPMENT CORPORATION ," 112,505.00 "
TEL PM Equity,"MALAYAN INSURANCE COMPANY, INC. "," 108,110.00 "
TEL PM Equity,"R. S. LIM & CO., INC. "," 97,882.00 "
TEL PM Equity,REGINA CAPITAL DEVELOPMENT CORPORATION ," 90,174.00 "
TEL PM Equity,SSS PROVIDENT FUND ," 82,614.00 "
TEL PM Equity,"PNB SECURITIES, INC. "," 77,926.00 "
TEL PM Equity,"IMPERIAL,DE GUZMAN,ABALOS & CO.,INC. "," 75,341.00 "
TEL PM Equity,ABACUS SECURITIES CORPORATION ," 69,008.00 "
TEL PM Equity,"SOLAR SECURITIES, INC. "," 66,991.00 "
TEL PM Equity,"R. COYIUTO SECURITIES, INC. "," 65,891.00 "
TEL PM Equity,"TOWER SECURITIES, INC. "," 65,817.00 "
TEL PM Equity,A. T. DE CASTRO SECURITIES CORP. ," 64,003.00 "
TEL PM Equity,"A & A SECURITIES, INC. "," 59,238.00 "
TEL PM Equity,DAVID GO SECURITIES CORP. ," 55,410.00 "
TEL PM Equity,"E. CHUA CHIACO SECURITIES, INC. "," 53,644.00 "
TEL PM Equity,"INVESTORS SECURITIES, INC, "," 53,401.00 "
TEL PM Equity,THE FIRST RESOURCES MANAGEMENT & SECURITIES CORP. ," 52,235.00 "
TEL PM Equity,"FIRST ORIENT SECURITIES, INC. "," 51,215.00 "
TEL PM Equity,"SUMMIT SECURITIES, INC. "," 49,598.00 "
TEL PM Equity,"BELSON SECURITIES, INC. "," 49,429.00 "
TEL PM Equity,"GLOBALINKS SECURITIES & STOCKS, INC. "," 45,107.00 "
TEL PM Equity,QUALITY INVESTMENTS & SECURITIES CORPORATION ," 44,937.00 "
TEL PM Equity,"MDR SECURITIES, INC. "," 43,938.00 "
TEL PM Equity,MANDARIN SECURITIES CORPORATION ," 43,232.00 "
TEL PM Equity,"ANSALDO, GODINEZ & CO., INC. "," 40,147.00 "
TEL PM Equity,"GUILD SECURITIES, INC. "," 37,188.00 "
TEL PM Equity,"HDI SECURITIES, INC. "," 36,316.00 "
TEL PM Equity,STRATEGIC EQUITIES CORP. ," 35,732.00 "
TEL PM Equity,"F. YAP SECURITIES, INC. "," 34,432.00 "
TEL PM Equity,STANDARD SECURITIES CORPORATION ," 32,342.00 "
TEL PM Equity,UNITED COCONUT PLANTERS LIFE ASSURANCE CORPORATION ," 32,125.00 "
TEL PM Equity,ASIA UNITED BANK - TRUST & INVESTMENT GROUP ," 30,830.00 "
TEL PM Equity,"EVERGREEN STOCK BROKERAGE & SEC., INC. "," 30,355.00 "
TEL PM Equity,TRITON SECURITIES CORP. ," 30,138.00 "
TEL PM Equity,STAR ALLIANCE SECURITIES CORP. ," 29,780.00 "
TEL PM Equity,MERCANTILE SECURITIES CORP. ," 28,701.00 "
TEL PM Equity,"GOLDSTAR SECURITIES, INC. "," 28,523.00 "
TEL PM Equity,IGC SECURITIES INC. ," 27,933.00 "
TEL PM Equity,UPCC SECURITIES CORP. ," 27,266.00 "
TEL PM Equity,"CAMPOS, LANUZA & COMPANY, INC. "," 27,066.00 "
TEL PM Equity,"SunSecurities, Inc. "," 26,255.00 "
TEL PM Equity,"YU & COMPANY, INC. "," 25,862.00 "
TEL PM Equity,"EAGLE EQUITIES, INC. "," 23,860.00 "
TEL PM Equity,"BA SECURITIES, INC. "," 21,498.00 "
TEL PM Equity,"DIVERSIFIED SECURITIES, INC. "," 19,921.00 "
TEL PM Equity,AB CAPITAL & INVESTMENT CORP. - TRUST & INVESTMENT DIV. ," 19,666.00 "
TEL PM Equity,"UCPB GENERAL INSURANCE CO., INC. "," 19,345.00 "
TEL PM Equity,"CTS GLOBAL EQUITY GROUP, INC. "," 19,047.00 "
TEL PM Equity,"I. B. GIMENEZ SECURITIES, INC. "," 18,908.00 "
TEL PM Equity,"S.J. ROXAS & CO., INC. "," 18,242.00 "
TEL PM Equity,"JSG SECURITIES, INC. "," 17,475.00 "
TEL PM Equity,"FIRST INTEGRATED CAPITAL SECURITIES, INC. "," 17,358.00 "
TEL PM Equity,"VENTURE SECURITIES, INC. "," 15,731.00 "
TEL PM Equity,"UOB KAY HIAN SECURITIES (PHILS.), INC. "," 15,200.00 "
TEL PM Equity,"MERIDIAN SECURITIES, INC. "," 14,985.00 "
TEL PM Equity,B. H. CHUA SECURITIES CORPORATION ," 13,365.00 "
TEL PM Equity,COL Inv Mgt Inc as Investment Company Adviser for Various Mutual Funds ," 13,290.00 "
TEL PM Equity,"G.D. TAN & COMPANY, INC. "," 12,762.00 "
TEL PM Equity,CUALOPING SECURITIES CORPORATION ," 12,720.00 "
TEL PM Equity,"PREMIUM SECURITIES, INC. "," 12,032.00 "
TEL PM Equity,"RTG & COMPANY, INC. "," 11,880.00 "
TEL PM Equity,"SUPREME STOCKBROKERS, INC "," 11,590.00 "
TEL PM Equity,"ARMSTRONG SECURITIES, INC. "," 11,414.00 "
TEL PM Equity,"DRAGONFI SECURITIES, INC. "," 11,110.00 "
TEL PM Equity,"UNITED FUND, INC. "," 10,795.00 "
TEL PM Equity,"LITONJUA SECURITIES, INC. "," 10,549.00 "
TEL PM Equity,"TANSENGCO & CO., INC. "," 9,904.00 "
TEL PM Equity,LAND BANK OF THE PHILIPPINES-TRUST BANKING GROUP ," 9,781.00 "
TEL PM Equity,EASTWEST BANKING CORPORATION - TRUST DIVISION ," 9,390.00 "
TEL PM Equity,BANK OF COMMERCE - TRUST SERVICES GROUP ," 8,815.00 "
TEL PM Equity,"AAA SOUTHEAST EQUITIES, INCORPORATED "," 8,673.00 "
TEL PM Equity,"AURORA SECURITIES, INC. "," 8,313.00 "
TEL PM Equity,OPTIMUM SECURITIES CORPORATION ," 8,271.00 "
TEL PM Equity,"H. E. BENNETT SECURITIES, INC. "," 7,960.00 "
TEL PM Equity,"LUCKY SECURITIES, INC. "," 7,331.00 "
TEL PM Equity,PAN ASIA SECURITIES CORP. ," 7,121.00 "
TEL PM Equity,"DA MARKET SECURITIES, INC. "," 6,589.00 "
TEL PM Equity,"TIMSON SECURITIES, INC. "," 6,505.00 "
TEL PM Equity,"WESTLINK GLOBAL EQUITIES, INC. "," 5,484.00 "
TEL PM Equity,DEVELOPMENT BANK OF THE PHILIPPINES ," 5,410.00 "
TEL PM Equity,VC SECURITIES CORPORATION ," 5,120.00 "
TEL PM Equity,"PLATINUM SECURITIES, INC. "," 4,895.00 "
TEL PM Equity,ALPHA SECURITIES CORP. ," 4,682.00 "
TEL PM Equity,ALAKOR SECURITIES CORPORATION ," 4,370.00 "
TEL PM Equity,"INTRA-INVEST SECURITIES, INC. "," 4,268.00 "
TEL PM Equity,"BERNAD SECURITIES, INC. "," 3,798.00 "
